"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.670301292E0,1.423087671E-1,-1.049826640E-1,-1.909115911E-1,2.602313980E-1
2.680294292E0,8.042192800E-2,-1.548404283E-1,-2.064546597E-1,2.703086592E-1
2.690288292E0,-7.254256736E-3,-1.178885653E-1,-1.420259446E-1,1.847206188E-1
2.700282292E0,-6.298167542E-2,-7.724199286E-2,7.680317760E-2,1.258242623E-1
2.710275292E0,-5.890252987E-2,-4.619336911E-2,3.302478164E-1,3.386250960E-1
2.720269292E0,-9.107513465E-3,-2.114760658E-2,4.281173426E-1,4.287360809E-1
2.730262292E0,6.022544414E-2,5.540766735E-3,4.697992194E-1,4.736761665E-1
2.740256292E0,3.765212193E-2,3.208659589E-5,4.625656289E-1,4.640955121E-1
2.750249292E0,1.214249248E-2,7.744712049E-2,3.662327510E-1,3.745289368E-1
2.760243292E0,1.147764030E-1,1.156218373E-1,1.975493503E-1,2.560620584E-1
2.770237292E0,2.521509789E-1,1.239276244E-1,1.609563053E-2,2.814200448E-1
2.780230292E0,3.066165502E-1,1.859253414E-1,-4.591467619E-2,3.615108559E-1
2.790224292E0,2.102395441E-1,2.070218762E-1,-7.740193248E-2,3.050406240E-1
2.800217292E0,7.707688211E-2,1.876798350E-1,-1.052452040E-1,2.285631623E-1
2.810211292E0,-1.828029647E-2,1.609147535E-1,-6.603143692E-2,1.748939044E-1
2.820204292E0,-7.590562999E-2,1.023987063E-1,-7.334221065E-2,1.470586263E-1
2.830198292E0,-2.757027961E-2,5.088912182E-2,-8.954250634E-2,1.066193391E-1
2.840191292E0,-5.059632249E-3,4.617136896E-2,-1.009825838E-1,1.111524962E-1
2.850185292E0,5.249697821E-2,9.257607836E-2,-2.249891639E-1,2.488903109E-1
2.860179292E0,1.610996169E-1,2.091473391E-1,-3.057567537E-1,4.039590182E-1
2.870172292E0,1.487041044E-1,2.288304922E-1,-2.408912516E-1,3.640122249E-1
2.880166292E0,6.175350431E-2,2.323536224E-1,-2.020493674E-1,3.140472066E-1
2.890159292E0,2.105494648E-2,1.793470410E-1,-1.777419072E-1,2.533788813E-1
2.900153292E0,6.095037097E-2,1.016721167E-1,-1.660468912E-1,2.040189626E-1
2.910147292E0,4.106589088E-2,3.820051767E-2,-1.662030119E-1,1.754113112E-1
2.920140292E0,2.033860775E-2,-2.401597649E-3,-2.158072811E-1,2.167768651E-1
2.930134292E0,-3.973533869E-2,-5.047682002E-2,-3.217798787E-1,3.281296952E-1
2.940127292E0,-9.540859753E-2,-4.937396206E-2,-3.866564906E-1,4.013026667E-1
2.950121292E0,-1.246634782E-1,7.280134320E-2,-4.316356122E-1,4.551376936E-1
2.960114292E0,-5.635215713E-2,1.857374265E-1,-5.485080045E-1,5.818375961E-1
2.970108292E0,7.712155849E-2,2.504224323E-1,-6.857813323E-1,7.341356585E-1
2.980101292E0,8.721187927E-2,2.845907832E-1,-8.286779273E-1,8.805140163E-1
2.990095292E0,5.664515745E-2,3.032162481E-1,-9.335828233E-1,9.832220781E-1
3.000089292E0,2.376668410E-2,3.574647415E-1,-9.447773176E-1,1.010420742E0
3.010082292E0,4.156666836E-2,3.968816628E-1,-8.472609633E-1,9.365329584E-1
3.020076292E0,5.590069726E-2,3.879429146E-1,-6.404899693E-1,7.509007881E-1
3.030069292E0,8.828849785E-2,3.208943179E-1,-5.417100316E-1,6.357812364E-1
3.040063292E0,1.872489317E-1,2.169183252E-1,-5.009309649E-1,5.771027239E-1
3.050056292E0,1.493084690E-1,1.394997647E-1,-4.414887553E-1,4.864828099E-1
