"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.671081125E0,-8.939899374E-2,8.086644430E-3,-2.531259656E-2,9.326468487E-2
1.681075125E0,-1.550961161E-2,-1.335906051E-3,-1.624064147E-2,2.249646934E-2
1.691068125E0,-4.658010760E-2,7.692834456E-4,-7.149390578E-3,4.713185767E-2
1.701062125E0,-4.696761355E-2,8.660183195E-3,2.156862438E-2,5.240382670E-2
1.711056125E0,-7.007504236E-3,2.468991377E-2,-1.274634540E-2,2.865599900E-2
1.721049125E0,2.155084519E-2,1.318415567E-2,-3.794433653E-2,4.558545343E-2
1.731043125E0,3.460965117E-2,-3.382636182E-2,4.236307740E-3,4.857980045E-2
1.741036125E0,8.521659002E-3,-3.834649706E-3,3.417756021E-2,3.543203116E-2
1.751030125E0,-8.751162216E-3,1.794452925E-2,1.383509696E-2,2.428989251E-2
1.761023500E0,4.611934701E-2,-9.784036316E-4,-2.313509345E-2,5.160604607E-2
1.771016500E0,6.119277461E-2,1.485417528E-2,-3.526046455E-2,7.216995599E-2
1.781010500E0,4.800523851E-2,-9.921354521E-4,-1.265337467E-2,4.965475957E-2
1.791003500E0,3.306647960E-2,1.176307213E-2,-5.768278241E-3,3.556733014E-2
1.800997500E0,2.753952691E-2,3.786680611E-2,-1.805152416E-2,5.018145147E-2
1.810991500E0,-7.586396858E-4,2.346378006E-2,-9.684158564E-3,2.539502778E-2
1.820984500E0,-2.301551789E-2,-2.309138551E-3,4.657307267E-3,2.359526850E-2
1.830978500E0,-7.515610831E-2,-6.916826712E-3,-1.946538091E-2,7.794346773E-2
1.840971500E0,-1.707972423E-1,-5.563031835E-3,-4.200639725E-3,1.709394357E-1
1.850965500E0,5.806405742E-2,-5.779250907E-2,-2.411684096E-2,8.539924406E-2
1.860959500E0,-5.686892308E-3,2.982445434E-4,-1.959986687E-3,6.022561062E-3
1.870952500E0,-4.276854526E-2,2.078190892E-2,1.919056177E-2,5.127683554E-2
1.880946500E0,-6.384393873E-2,-4.774525668E-3,8.037582636E-3,6.452478084E-2
1.890939500E0,8.832127880E-3,-1.109189400E-2,6.329026222E-3,1.552717516E-2
1.900933500E0,1.721349025E-2,1.492514586E-2,-3.741633296E-3,2.308817978E-2
1.910927500E0,1.177548833E-2,4.507216550E-3,1.958758771E-2,2.329486465E-2
1.920920500E0,1.543270245E-2,8.618942052E-3,2.057050467E-3,1.779567149E-2
1.930914500E0,9.281230588E-3,1.280906592E-2,-3.496167183E-2,3.837358347E-2
1.940907500E0,-1.168883990E-2,-2.340165339E-4,-1.674291730E-2,2.042079875E-2
